Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
59	37	0	1.09287028	101325.941	101326.164	101325.311	101326.728	0.782661685	0.129597262	0	1074.72	0	0	3
60	38	0	1.11139351	101325.892	101326.185	101325.398	101326.728	0.666487975	0.129597262	0	1073.38	0	0	3
61	39	0	1.12991673	101325.836	101326.202	101325.478	101326.728	0.553305863	0.129597262	0	1072.46	0	0	3
62	39	0	1.14843996	101325.793	101326.213	101325.574	101326.728	0.519865905	0.129597262	0	1073.57	0	0	3
63	40	0	1.16696319	101325.768	101326.22	101325.676	101326.728	0.52706301	0.129597262	0	1072.99	0	0	3
64	40	0	1.18548641	101325.758	101326.223	101325.758	101326.728	0.530064097	0.129597262	0	1071.66	0	0	3
65	41	0	1.20400964	101325.749	101326.222	101325.749	101326.728	0.530064097	0.129597262	0	1069.58	0	0	3
66	41	0	1.22253286	101325.723	101326.214	101325.723	101326.728	0.530064097	0.129597262	0	1069.43	0	0	3
67	42	0	1.24105609	101325.693	101326.199	101325.693	101326.728	0.530064097	0.129597262	0	1068.26	0	0	3
68	42	0	1.25957931	101325.667	101326.176	101325.667	101326.728	0.530064097	0.129597262	0	1068.26	0	0	3
69	43	0	1.27810254	101325.654	101326.147	101325.654	101326.728	0.530064097	0.129597262	0	1067.69	0	0	3
70	43	0	1.29662576	101325.654	101326.111	101325.654	101326.728	0.530064097	0.129597262	0	1068.6	0	0	3
71	44	0	1.31514899	101325.665	101326.073	101325.654	101326.728	0.530064097	0.129597262	0	1069.11	0	0	3
72	45	0	1.33367221	101325.667	101326.034	101325.654	101326.714	0.528752109	0.129597262	0	1069.58	0	0	3
73	45	0	1.35219544	101325.66	101325.995	101325.654	101326.669	0.521002354	0.129597262	0	1070.16	0	0	3
74	46	0	1.37071866	101325.651	101325.957	101325.651	101326.614	0.506181322	0.129597262	0	1070.7	0	0	3
75	46	0	1.38924189	101325.646	101325.921	101325.646	101326.541	0.48235798	0.129597262	0	1071.89	0	0	3
76	47	0	1.40776511	101325.645	101325.888	101325.645	101326.463	0.449584438	0.129597262	0	1072.24	0	0	3
77	48	0	1.42628834	101325.655	101325.858	101325.645	101326.391	0.408581874	0.129597262	0	1071.19	0	0	3
78	48	0	1.44481156	101325.669	101325.831	101325.645	101326.334	0.39210662	0.129597262	0	1069.35	0	0	3
79	49	0	1.46333479	101325.683	101325.807	101325.645	101326.283	0.416215088	0.129597262	0	1067.89	0	0	3
80	49	0	1.48185801	101325.691	101325.785	101325.645	101326.224	0.438130401	0.129597262	0	1066.7	0	0	3
81	50	0	1.50038124	101325.7	101325.766	101325.645	101326.151	0.457522392	0.129597262	0	1066.43	0	0	3
82	50	0	1.51890446	101325.711	101325.75	101325.645	101326.078	0.433054825	0.129597262	0	1065.94	0	0	3
